msg_seq,t_tx_ns,t_rx_ns,lat_ms,payload_app,payload_envelope,wire_up_l3_bytes,wire_down_l3_bytes,wire_l3_bytes,frames_up,frames_down,msg_total_bytes_enviada,eficiencia_env,overhead_env_bytes
151,1758672556098546808,1758672556304109439,205.563,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
152,1758673156295438031,1758673156574882598,279.445,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
153,1758673756503903026,1758673756513829543,9.927,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
154,1758674355715317516,1758674355888632792,173.315,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
155,1758674955919130181,1758674955929444828,10.315,467,491,1772,762,2534,30,30,1772,0.2770880361173815,1281
156,1758675556138472060,1758675556207066144,68.594,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
157,1758676156349730555,1758676156481068981,131.338,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
158,1758676755550257903,1758676755831521380,281.263,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
159,1758677356745447176,1758677357021322702,275.876,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
160,1758677955936647897,1758677956066257918,129.61,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
161,1758678556137724921,1758678556387139328,249.414,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
162,1758679156345932188,1758679156420637081,74.705,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
163,1758679756556317346,1758679756882983352,326.666,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
164,1758680356753072700,1758680356987658487,234.586,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
165,1758680955952619046,1758680956228889216,276.27,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
166,1758681556162708889,1758681556280037335,117.328,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
167,1758682156353271216,1758682156528080765,174.81,463,487,2048,1018,3066,38,38,2048,0.23779296875,1561
168,1758682756556699121,1758682756580567709,23.869,463,487,2200,1146,3346,42,42,2200,0.22136363636363637,1713
169,1758683356765918170,1758683356878616402,112.698,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
170,1758683959970713299,1758683960203901432,233.188,463,487,1972,902,2874,35,35,1972,0.24695740365111563,1485
171,1758684556185351416,1758684556401887465,216.536,459,483,1892,838,2730,33,33,1892,0.25528541226215645,1409
172,1758685156382075446,1758685156560137103,178.062,459,483,2272,1210,3482,44,44,2272,0.2125880281690141,1789
173,1758685756567236494,1758685756677839443,110.603,463,487,1972,902,2874,35,35,1972,0.24695740365111563,1485
174,1758686358754260808,1758686358793548276,39.287,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
175,1758686955961385958,1758686955975091242,13.705,463,487,2200,1094,3294,41,41,2200,0.22136363636363637,1713
176,1758687556174306667,1758687556188035732,13.729,463,487,1844,826,2670,32,32,1844,0.26409978308026033,1357
177,1758688157381635647,1758688157969187208,587.552,463,487,2048,1018,3066,38,38,2048,0.23779296875,1561
178,1758688756580510127,1758688756626546062,46.036,463,487,2048,966,3014,37,37,2048,0.23779296875,1561
179,1758689357770813308,1758689357820736391,49.923,459,483,2044,966,3010,37,37,2044,0.2363013698630137,1561
180,1758689955968534166,1758689956143728128,175.194,463,487,2048,966,3014,37,37,2048,0.23779296875,1561
181,1758690559188867065,1758690559489709773,300.843,463,487,2048,966,3014,37,37,2048,0.23779296875,1561
182,1758691158402173232,1758691158496025394,93.852,459,483,2196,1146,3342,42,42,2196,0.21994535519125682,1713
183,1758691759598318513,1758691759760878136,162.56,463,487,1972,902,2874,35,35,1972,0.24695740365111563,1485
184,1758692359788374220,1758692360082672349,294.298,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
185,1758692955988484619,1758692956109766685,121.282,463,487,1972,954,2926,36,36,1972,0.24695740365111563,1485
186,1758693556202661239,1758693556308890401,106.229,463,487,2200,1146,3346,42,42,2200,0.22136363636363637,1713
187,1758694156414876222,1758694157467703428,1052.827,459,483,2756,1158,3914,43,43,2756,0.17525399129172714,2273
188,1758694756620664555,1758694756850398533,229.734,463,487,2048,966,3014,37,37,2048,0.23779296875,1561
